               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.046399,           0.0086211,           0.0056654,             0.93606,             0.94939,             0.95555,             0.48101,            0.031141,           0.0052383,           0.0035403,           0.0075052,           0.0075052,           0.0075052
                 128,            0.045769,            0.009547,           0.0062982,             0.93606,             0.94939,             0.95555,             0.48101,            0.031141,           0.0052383,           0.0035403,           0.0074854,           0.0074854,           0.0074854
                 129,            0.044021,            0.010828,           0.0050773,             0.93152,             0.95389,             0.97193,             0.61052,            0.027435,           0.0052559,           0.0037036,           0.0074656,           0.0074656,           0.0074656
                 130,            0.036114,            0.011206,           0.0066159,             0.98852,             0.98938,               0.995,             0.56578,            0.027465,           0.0050492,           0.0034141,           0.0074458,           0.0074458,           0.0074458
                 131,            0.036784,           0.0093544,           0.0053359,              0.9689,             0.97261,             0.97665,             0.49707,            0.033844,           0.0052601,            0.003261,            0.007426,            0.007426,            0.007426
                 132,            0.044553,            0.010393,           0.0054734,              0.9689,             0.97261,             0.97665,             0.49707,            0.033844,           0.0052601,            0.003261,           0.0074062,           0.0074062,           0.0074062
                 133,            0.044972,            0.011828,           0.0047722,             0.97085,             0.97521,             0.97665,             0.66077,            0.027441,           0.0052253,           0.0032964,           0.0073864,           0.0073864,           0.0073864
                 134,            0.040866,            0.012471,           0.0050779,              0.9276,             0.97402,             0.97288,                0.51,            0.030646,           0.0051405,           0.0032614,           0.0073666,           0.0073666,           0.0073666
                 135,             0.04506,            0.011386,           0.0051483,             0.87834,             0.97619,             0.97036,             0.59054,            0.028632,           0.0051326,           0.0033064,           0.0073468,           0.0073468,           0.0073468
                 136,            0.041545,            0.011186,           0.0069879,             0.87834,             0.97619,             0.97036,             0.59054,            0.028632,           0.0051326,           0.0033064,            0.007327,            0.007327,            0.007327
                 137,            0.036528,            0.011821,           0.0047227,             0.97286,             0.97619,             0.97831,             0.66143,            0.022654,           0.0050883,           0.0033457,           0.0073072,           0.0073072,           0.0073072
                 138,            0.039445,            0.012052,           0.0062034,               0.532,             0.94956,             0.86439,             0.52928,            0.031761,           0.0052944,           0.0033021,           0.0072874,           0.0072874,           0.0072874
                 139,            0.047438,            0.010801,           0.0048414,             0.94883,             0.95238,             0.96078,             0.54493,            0.027859,           0.0051708,           0.0031058,           0.0072676,           0.0072676,           0.0072676
                 140,            0.041085,            0.011767,             0.00616,             0.94883,             0.95238,             0.96078,             0.54493,            0.027859,           0.0051708,           0.0031058,           0.0072478,           0.0072478,           0.0072478
                 141,            0.037601,             0.01019,           0.0084164,             0.93975,              0.9488,             0.95853,             0.60446,            0.025639,            0.004988,           0.0036424,            0.007228,            0.007228,            0.007228
